Price,Reviews,Rating,Brand,Operating System,CPU manufacturer,Screen size,Computer memory size,Processor count,Graphics Chipset Brand,Series,CPU model,Colour,Hard disk size,Resolution,Item weight,Form Factor,Hard disk description,Operating system,Graphics processor manufacturer,Model name,RAM memory technology,Hard disk interface,CPU speed,Form factor,Wireless communication technology,Human interface input,Connectivity Type,Graphics co-processor,Battery cell composition,Item dimensions L x W x H,Cellular technology,Other camera features,Software included,Wireless communication standard
£175.00,95 ratings,3.6 out of 5 stars,HSW,Windows,Intel,10.1 Inches,2 GB,4,NaN,NaN,Atom Z8350,Black,2 GB,1280 x 800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£299.99,219 ratings,4.3 out of 5 stars,Jumper,Windows 10 Home,Intel,11.6 Inches,4 GB,4,Intel,Ezpad Pro8,Celeron N3450,NaN,64 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£259.00,14 ratings,4.3 out of 5 stars,CHUWI,Android,Intel,10.1 Inches,4 GB,8,ARM,NaN,NaN,Black,128 GB,1920 x 1200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£359.99,36 ratings,3.8 out of 5 stars,Dell,Windows 10 Pro,Intel,14 Inches,8 GB,2,Intel,Dell Latitude,Core i5,NaN,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£349.00,252 ratings,4.0 out of 5 stars,CHUWI,Windows 10 Home,Intel,14.1 Inches,8 GB,2,Intel,NaN,Celeron,NaN,8 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£649.97,0,NaN,Acer,NaN,NaN,15.6 Inches,8 GB,NaN,NaN,NaN,Core i7,NaN,NaN,1920 x 1080,NaN,NaN,Ssd,Windows 10,NaN,NaN,DDR4,NaN,NaN,NaN,Wi-Fi,Microphone,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£399.99,212 ratings,3.8 out of 5 stars,TECLAST,Windows 10,Intel,14.1 Inches,8 GB,4,Intel,F7 Plus,Celeron N,NaN,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£399.99,212 ratings,3.8 out of 5 stars,TECLAST,Windows 10,Intel,14.1 Inches,8 GB,4,Intel,F7 Plus,Celeron N,NaN,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£309.99,5 ratings,4.3 out of 5 stars,TECLAST,Windows 10,Intel,13.3 Inches,8 GB,2,Intel,TECLAST F6,Celeron N3350,NaN,128 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"£1,099.97",5 ratings,4.5 out of 5 stars,MSI,Windows 10 Home,Intel,15.6 Inches,1 TB,6,NVIDIA,Thin,Core i7,NaN,1 TB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£319.99,396 ratings,4.3 out of 5 stars,Jumper,Windows 10 Home,Intel,11.6 Inches,8 GB,4,Intel,NaN,Celeron N,NaN,128 GB,1280 x 720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£239.00,"1,202 ratings",4.5 out of 5 stars,HP,Chrome OS,AMD,14 Inches,4 GB,2,AMD,HP Chromebook,AMD A4,NaN,32 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£667.69,218 ratings,4.6 out of 5 stars,HUAWEI,Windows 10 Home,Intel,13 Inches,8 GB,8,NVIDIA,Matebook 13 2020,Core i5-10210U,Grey,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£399.99,37 ratings,4.4 out of 5 stars,Lenovo,Windows 10 S,AMD,14 Inches,4 GB,2,AMD,IdeaPad 3 14ADA05,Ryzen 3 3250U,NaN,128 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£259.99,145 ratings,4.1 out of 5 stars,LincPlus,Windows 10 Home,Intel,14 Inches,4 GB,2,Intel,LincPlus P2-UK,Celeron,NaN,64 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£399.99,98 ratings,3.8 out of 5 stars,TECLAST,Windows 10,Intel Celeron Processor N4100,11.6 Inches,8 GB,4,Intel,F5,Celeron N,NaN,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£299.99,54 ratings,4.3 out of 5 stars,HP,Windows 10 S,AMD,15.6 Inches,4 GB,2,AMD,HP Laptop 15s-eq1054sa/15s-eq1054na,None,NaN,NaN,1080p,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£912.67,166 ratings,4.4 out of 5 stars,Dell,Windows 10 Home,Intel,14 Inches,16 GB,1,Intel,Inspiron 14 5406 2in1,Core i7,NaN,NaN,1080p,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"£1,029.00",789 ratings,4.5 out of 5 stars,Lenovo,Windows 10,AMD,15.6 Inches,16 GB,1,NVIDIA,"Legion 5 15""",None,NaN,512 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£259.00,14 ratings,4.5 out of 5 stars,CHUWI,Android,Intel,10.1 Inches,4 GB,8,ARM,NaN,NaN,Black,128 GB,1920 x 1200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£227.99,81 ratings,4.2 out of 5 stars,HP,Windows 10 S,Intel,11.6 Inches,2 GB,2,Intel,HP Stream Laptop,Celeron N,White,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"£1,179.99",13 ratings,4.5 out of 5 stars,ASUS,Windows 10 Home,Intel,15.6 Inches,16 GB,4,Intel,ZenBook 15 UX534FAC,Core i7,Blue,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£369.99,131 ratings,4.7 out of 5 stars,ASUS,Windows 10 Home,Intel,14 Inches,4 GB,4,Intel,VivoBook 14,Pentium,NaN,NaN,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£419.99,11 ratings,4.2 out of 5 stars,TECLAST,Windows 10,Intel,14.1 Inches,8 GB,4,Intel,NaN,Celeron,NaN,256 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£279.00,167 ratings,4.1 out of 5 stars,CHUWI,Windows 10 Home,Intel,10.1 Inches,6 GB,4,Intel,NaN,Celeron,NaN,128 GB,1920 x 1200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£582.30,53 ratings,3.9 out of 5 stars,Dell,Windows 10 Pro,Intel,14 Inches,8 GB,1,NaN,NaN,Core i5,Black/Grey,256 GB,NaN,1.42 Kilograms,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£349.00,252 ratings,4.0 out of 5 stars,CHUWI,Windows 10 Home,Intel,14.1 Inches,8 GB,2,Intel,NaN,Celeron,NaN,8 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£998.00,216 ratings,4.6 out of 5 stars,HUAWEI,Windows 10 Home,Intel,13.9 Inches,16 GB,8,NVIDIA,Matebook x pro 2020,Core i5-10210U,Grey,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£339.90,0,NaN,ASUS,Windows 10 S,Intel,14 Inches,4 GB,2,NaN,NaN,Unknown,Silver,128 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£667.69,218 ratings,4.6 out of 5 stars,HUAWEI,Windows 10 Home,Intel,13 Inches,8 GB,8,NVIDIA,Matebook 13 2020,Core i5-10210U,Grey,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£235.00,331 ratings,4.2 out of 5 stars,HP,Windows 10 S,Intel,11.6 Inches,2 GB,2,Intel,HP Stream Laptop,Celeron N,NaN,32 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£399.00,5 ratings,4.7 out of 5 stars,CHUWI,Windows 10 Home,NaN,13 Inches,12 GB,4,Intel,NaN,Celeron,Gray,256 GB,2160 x 1440,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£399.99,98 ratings,3.8 out of 5 stars,TECLAST,Windows 10,Intel Celeron Processor N4100,11.6 Inches,8 GB,4,Intel,F5,Celeron N,NaN,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£399.99,212 ratings,3.8 out of 5 stars,TECLAST,Windows 10,Intel,14.1 Inches,8 GB,4,Intel,F7 Plus,Celeron N,NaN,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£547.04,20 ratings,3.8 out of 5 stars,HP,Windows 10 Pro,Intel,13.3 Inches,8 GB,1,Intel,NaN,Core i5 7200U,NaN,256 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£368.00,17 ratings,4.7 out of 5 stars,XINYANGCH,Windows 10 Home,Intel,15.6 Inches,8 GB,4,Intel,NaN,Celeron,NaN,256 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£359.00,36 ratings,4.7 out of 5 stars,HAOMA,Windows 10 Pro,Intel,15.6 Inches,8 GB,4,NaN,NaN,Celeron J3455,Gray,256 GB,NaN,2.8 Pounds,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£369.99,34 ratings,4.7 out of 5 stars,TOPOSH,Windows 10 Home,Intel,14 Inches,8 GB,2,Intel,Netbook PRO,Celeron 3855U,NaN,128 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£349.00,459 ratings,3.9 out of 5 stars,CHUWI,Windows 10 Home,Intel,14.1 Inches,8 GB,2,Intel,NaN,Celeron,NaN,256 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£269.98,2 ratings,4.5 out of 5 stars,MEBERRY,Windows,Intel,14.1 Inches,NaN,4,Intel,B2,Celeron N,NaN,64 GB,1280 x 720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£430.08,4 ratings,4.2 out of 5 stars,Lenovo,Windows 10 Pro,Intel,14 Inches,8 GB,2,NaN,NaN,Core i5 6200U,NaN,512 GB,NaN,8 Kilograms,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Bluetooth, Wi-Fi",NaN,NaN,NaN,NaN,NaN,NaN,NaN
"£1,099.97",5 ratings,4.5 out of 5 stars,MSI,Windows 10 Home,Intel,15.6 Inches,1 TB,6,NVIDIA,Thin,Core i7,NaN,1 TB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£359.99,36 ratings,4.7 out of 5 stars,Dell,Windows 10 Pro,Intel,14 Inches,8 GB,2,Intel,Dell Latitude,Core i5,NaN,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£368.00,10 ratings,4.7 out of 5 stars,XINYANGCH,Windows 10 Home,Intel,15.6 Inches,6 GB,4,Intel,NaN,Celeron,NaN,256 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£399.99,98 ratings,3.8 out of 5 stars,TECLAST,Windows 10,Intel Celeron Processor N4100,11.6 Inches,8 GB,4,Intel,F5,Celeron N,NaN,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£399.99,212 ratings,3.8 out of 5 stars,TECLAST,Windows 10,Intel,14.1 Inches,8 GB,4,Intel,F7 Plus,Celeron N,NaN,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£279.00,167 ratings,4.1 out of 5 stars,CHUWI,Windows 10 Home,Intel,10.1 Inches,6 GB,4,Intel,NaN,Celeron,NaN,128 GB,1920 x 1200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"£1,199.99",289 ratings,4.6 out of 5 stars,HP,Windows 10,AMD,15.6 Inches,16 GB,8,NVIDIA,OMEN 15 Laptop,AMD Ryzen 7,NaN,NaN,1080p,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£499.99,4 ratings,4.6 out of 5 stars,Dell,Windows 10 Pro,Intel,12.5 Inches,8 GB,1,NaN,NaN,Core i5,NaN,256 GB,NaN,NaN,NaN,SSD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Intel HD Graphics 520,NaN,NaN,NaN,NaN,NaN,NaN
£667.69,218 ratings,4.6 out of 5 stars,HUAWEI,Windows 10 Home,Intel,13 Inches,8 GB,8,NVIDIA,Matebook 13 2020,Core i5-10210U,Grey,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£399.99,98 ratings,3.8 out of 5 stars,TECLAST,Windows 10,Intel Celeron Processor N4100,11.6 Inches,8 GB,4,Intel,F5,Celeron N,NaN,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£368.00,4 ratings,4.7 out of 5 stars,XINYANGCH,Windows 10 Pro,Intel,15.6 Inches,8 GB,4,NaN,NaN,Celeron J3455,Silver,256 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"£1,249.00","2,622 ratings",4.7 out of 5 stars,Acer,Windows 10,Intel,15.6 Inches,16 GB,6,NVIDIA,PH315-53-72XD,None,NaN,512 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£199.99,108 ratings,4.5 out of 5 stars,HP,Chrome OS,Intel,14 Inches,4 GB,1,Intel,NaN,Celeron 2955U,NaN,16 GB,1366 x 768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£338.00,110 ratings,3.8 out of 5 stars,YITAOERA,Windows 10 Pro,Intel,15.6 Inches,8 GB,4,Intel,NaN,Celeron J3455,NaN,256 GB,1280 x 720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£269.99,0,NaN,Jumper,Windows 10 Home,Intel,13.3,4 GB,2,Intel,Ezbook X3 464office,Celeron N3350,NaN,64 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£349.00,893 ratings,3.6 out of 5 stars,HP,Windows 10 Home,Intel,35.6 Centimetres,4 GB,2,Intel,Stream 14-ax005na 1DM45EA,Celeron,NaN,32 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£799.00,56 ratings,4.5 out of 5 stars,HP,Windows 10,Intel,15.6 Inches,8 GB,4,NVIDIA,HP Pavilion Gaming Laptop,Core i5,NaN,NaN,1080p,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"£1,648.80",102 ratings,4.7 out of 5 stars,Apple,NaN,Intel,27 Inches,256 GB,6,NaN,NaN,Intel Core i5,NaN,NaN,5120 x 2880,NaN,NaN,NaN,OS X 10.11 El Capitan,Apple,IMac,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£419.99,11 ratings,4.2 out of 5 stars,TECLAST,Windows 10,Intel,14.1 Inches,8 GB,4,Intel,NaN,Celeron,NaN,256 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£349.00,459 ratings,3.9 out of 5 stars,CHUWI,Windows 10 Home,Intel,14.1 Inches,8 GB,2,Intel,NaN,Celeron,NaN,256 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£349.99,12 ratings,4.1 out of 5 stars,Dell,Windows 10 Pro,Intel,13.3 Inches,8 GB,1,Intel,NaN,Core i5 3340M,NaN,320 GB,1366 x 768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£394.99,15 ratings,3.7 out of 5 stars,Lenovo,Windows 10 Pro,Intel,14 Inches,8 GB,2,Intel,NaN,Core i5,NaN,512.00,1366 x 768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£368.00,19 ratings,4.2 out of 5 stars,YITAOERA,Windows 10,Intel,15.6 Inches,8 GB,4,Intel,NaN,Celeron J3455,NaN,256 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£667.69,218 ratings,4.6 out of 5 stars,HUAWEI,Windows 10 Home,Intel,13 Inches,8 GB,8,NVIDIA,Matebook 13 2020,Core i5-10210U,Grey,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£499.99,11 ratings,4.6 out of 5 stars,Lenovo,Windows 10 Pro,Intel,14 Inches,12 GB,2,Intel,NaN,Core i5,NaN,240 GB,1600 x 900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"£1,553.91",95 ratings,4.5 out of 5 stars,LG Electronics,NaN,Intel,17 Inches,16 GB,NaN,Intel,NaN,NaN,Black,1024 GB,2560 x 1600,NaN,NaN,Ssd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Buttons,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£599.99,3 ratings,4.3 out of 5 stars,Dell,Windows 10 Pro,Intel,14 Inches,8 GB,1,Intel,NaN,Core i7,Black,128 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£349.00,459 ratings,3.9 out of 5 stars,CHUWI,Windows 10 Home,Intel,14.1 Inches,8 GB,2,Intel,NaN,Celeron,NaN,256 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
